8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,0
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,0
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,1
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,1
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,1
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,0
7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,1
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,0
7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,0
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,0
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,0
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,1
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,0
6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,1
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,0
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,0
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,0
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,1
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,1
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,0
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,0
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,0
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,0
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,0
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,0
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,0
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,0
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,0
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,0
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,0
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,0
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,0
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,0
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,0
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,1
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,0
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,1
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,0
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,0
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,0
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,1
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,0
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,0
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,0
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,1
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,1
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,1
6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,0
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,0
6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,1
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,0
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,0
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,0
7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,0
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,0
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,0
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,0
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,0
